Customer_ID,Transaction_Amount,Transaction_Type,Merchant_Category,Location,Transaction_Timestamp,Is_Fraud,Hour
221958,-0.038126945426679895,ATM Withdrawal,Dining,Los Angeles,2023-01-01 00:00:00,0,0
771155,-1.4698040508133974,Online,Retail,Houston,2023-01-01 00:01:00,0,0
231932,1.128128351551472,Online,Retail,Houston,2023-01-01 00:02:00,0,0
465838,-0.8135275951968691,ATM Withdrawal,Dining,Houston,2023-01-01 00:03:00,0,0
359178,1.3415544700437185,Online,Travel,New York,2023-01-01 00:04:00,0,0
744167,0.3304245113804576,Online,Travel,Chicago,2023-01-01 00:05:00,0,0
210268,0.23023234982946528,Online,Entertainment,Houston,2023-01-01 00:06:00,0,0
832180,-1.1704869837528928,Online,Travel,Chicago,2023-01-01 00:07:00,0,0
154886,-1.4926872016194008,POS,Entertainment,Chicago,2023-01-01 00:08:00,0,0
237337,0.1776629212167071,ATM Withdrawal,Dining,Miami,2023-01-01 00:09:00,0,0
621430,-0.11495347153329867,POS,Travel,Los Angeles,2023-01-01 00:10:00,0,0
187498,-1.3192915702114816,Online,Retail,New York,2023-01-01 00:11:00,0,0
999159,1.1560923448704445,ATM Withdrawal,Entertainment,Miami,2023-01-01 00:12:00,0,0
275203,-0.2904283222298135,ATM Withdrawal,Grocery,Miami,2023-01-01 00:13:00,0,0
291335,-0.8325346054884718,ATM Withdrawal,Retail,Los Angeles,2023-01-01 00:14:00,0,0
378167,0.9924890752058811,Online,Travel,Los Angeles,2023-01-01 00:15:00,1,0
141090,1.4239826410573981,ATM Withdrawal,Travel,New York,2023-01-01 00:16:00,0,0
429365,-0.6751922857858974,ATM Withdrawal,Entertainment,Chicago,2023-01-01 00:17:00,0,0
164820,0.9498825728029515,POS,Grocery,Houston,2023-01-01 00:18:00,0,0
887201,0.523097825169507,ATM Withdrawal,Grocery,Chicago,2023-01-01 00:19:00,0,0
421879,1.6890624931978129,POS,Dining,Chicago,2023-01-01 00:20:00,0,0
818315,-1.0277739789478464,Online,Travel,Miami,2023-01-01 00:21:00,0,0
427069,1.5886204835741824,ATM Withdrawal,Dining,Los Angeles,2023-01-01 00:22:00,0,0
876997,-0.643003330578169,Online,Entertainment,Houston,2023-01-01 00:23:00,0,0
299041,-0.30870510787293765,Online,Travel,Houston,2023-01-01 00:24:00,0,0
891743,-0.4924074869372113,ATM Withdrawal,Dining,New York,2023-01-01 00:25:00,0,0
203355,-0.8048975635392912,Online,Dining,Miami,2023-01-01 00:26:00,0,0
335796,0.6638363424147601,Online,Entertainment,Los Angeles,2023-01-01 00:27:00,0,0
314176,0.3039683585149636,ATM Withdrawal,Entertainment,Los Angeles,2023-01-01 00:28:00,0,0
284779,-0.6761284840860003,ATM Withdrawal,Grocery,Los Angeles,2023-01-01 00:29:00,0,0
